title,link,description
TBZ,https://tbz.ch/,"Grundbildung. Als eine der grössten Berufsfachschulen der Schweiz bilden wir Lernende in 16 verschiedenen Berufen in den Bereichen Automobiltechnik, Elektro/ ..."
TBZ Technische Berufsschule Zürich,https://ch.linkedin.com/school/tbz-technische-berufsschule-z%C3%BCrich/,Die Ausbildungen dauern zwischen zwei und vier Jahren und führen zum eidgenössischen Berufsattest (EBA) oder zum eidgenössischen Fähigkeitszeugnis (EFZ).
Technische Berufsschule Zürich,https://de.wikipedia.org/wiki/Technische_Berufsschule_Z%C3%BCrich,Die Technische Berufsschule Zürich ist in der Stadt Zürich das Kompetenzzentrum für die berufliche Grund- und Weiterbildung mit Schwerpunkt Technik.
TBZ-Turm,https://de.wikipedia.org/wiki/TBZ-Turm,Der TBZ-Turm ist ein roter Holzturm auf dem Dach der Technischen Berufsschule Zürich. Entstehung. Bearbeiten. Der deutsche Künstler Daniel Roth gewann 2003 ...
Technische Berufsschule Zürich TBZ - Online Katalog,https://www.winmedio.net/tbz/,"In den Schulferien nur am Samstag offen. Zwischen Weihnachten und Neujahr geschlossen. Hilfe. Hier können Sie recherchieren, vormerken, Leihfristen verlängern ..."
Technische Berufsschule Zürich TBZ,https://www.prevention.ch/organisation/technische-berufsschule-z%C3%BCrich-tbz,"Als eine der grössten Berufsfachschulen der Schweiz bilden wir Lernende in 16 verschiedenen Berufen in den Bereichen Automobiltechnik, Elektro/Elektronik, ..."
